,Gene
1496,RYR2
1497,S100A10
1498,S100A8
1499,S1PR2
1500,S1PR4
1501,SAG
1502,SALL1
1503,SAMD4A
1504,SAMD4B
1505,SAMD9
1506,SAMHD1
1507,SAPCD1
1508,SARM1
1509,SBK3
1510,SBNO1
1511,SBNO2
1512,SCAF1
1513,SCAF11
1514,SCAMP5
1515,SCAND1
1516,SCAP
1517,SCARA3
1518,SCARB1
1519,SCARB2
1520,SCGN
1521,SCMH1
1522,SCN10A
1523,SCRN3
1524,SCRT1
1525,SCUBE3
1526,SCYL1
1527,SDCBP2
1528,SDHAF3
1529,SEMA4G
1530,SENP3
1531,SENP3-EIF4A1
1532,SENP6
1533,SERAC1
1534,SERINC1
1535,SERP2
1536,SERPINA1
1537,SERPIND1
1538,SERPINH1
1539,SESN3
1540,SETD1B
1541,SETD2
1542,SETD9
1543,SEZ6
1544,SF3B1
1545,SFMBT1
1546,SFXN1
1547,SFXN2
1548,SGCD
1549,SGMS1
1550,SGSM3
1551,SH2B3
1552,SH3TC1
1553,SHANK1
1554,SHB
1555,SHBG
1556,SHC2
1557,SHCBP1
1558,SHOC2
1559,SHOX
1560,SIAH3
1561,SIDT2
1562,SIGLEC1
1563,SIPA1
1564,SIRPG
1565,SIRT3
1566,SIX5
1567,SIX6
1568,SKI
1569,SLA
1570,SLAMF9
1571,SLBP
1572,SLC12A1
1573,SLC12A3
1574,SLC12A7
1575,SLC12A9
1576,SLC14A1
1577,SLC15A2
1578,SLC16A13
1579,SLC16A3
1580,SLC17A2
1581,SLC17A4
1582,SLC1A1
1583,SLC22A1
1584,SLC22A11
1585,SLC22A12
1586,SLC22A13
1587,SLC22A18
1588,SLC22A2
1589,SLC22A3
1590,SLC22A7
1591,SLC24A4
1592,SLC24A5
1593,SLC25A15
1594,SLC25A23
1595,SLC25A24
1596,SLC25A25
1597,SLC25A30
1598,SLC25A45
1599,SLC28A2
1600,SLC2A4
1601,SLC2A6
1602,SLC2A9
1603,SLC30A10
1604,SLC33A1
1605,SLC34A1
1606,SLC34A3
1607,SLC35A2
1608,SLC35F5
1609,SLC35G1
1610,SLC35G6
1611,SLC37A2
1612,SLC39A13
1613,SLC39A4
1614,SLC44A4
1615,SLC45A4
1616,SLC47A1
1617,SLC4A1
1618,SLC4A1AP
1619,SLC4A7
1620,SLC5A2
1621,SLC5A3
1622,SLC5A5
1623,SLC6A18
1624,SLC6A19
1625,SLC6A8
1626,SLC7A9
1627,SLC8A3
